STATE,CONSTITUENCY,NAME,SEX,PARTY,AGE,QUALIFICATION
,PLATEAU NORTH,JANG JONAH DAVID,M,PDP,70,B.D
RIVERS,RIVERS EAST,GEORGE THOMPSON SEKIBO,M,PDP,57,M.ENG
,RIVERS SOUTH EAST,OLAKA JOHNSON NWOGU,M,PDP,49,B.SC.
,RIVERS WEST,OSINAKACHUKWU T. IDEOZU,M,PDP,49,"M.SC, B.TECH., MBA"
SOKOTO,SOKOTO EAST,IBRAHIM ABDULLAHI GOBIR,M,APC,61,PHD
,SOKOTO NORTH,ALIYU MAGATAKARDA WAMAKKO,M,APC,61,BSC
,SOKOTO SOUTH,IBRAHIM ABDULLAHI,M,APC,58,BSC
TARABA,TARABA SOUTH,EMMANUEL BWACHA,M,PDP,52,DIPLOMA
,TARABA CENTRAL,MARAFA BASHIR ABBA,M,PDP,49,B.SC
,TARABA NORTH,ABUBAKAR SANI DANLADI,M,PDP,46,ADV. DIPLOMA
YOBE,YOBE EAST,BUKAR ABBA IBRAHIM,M,APC,64,BSC
,YOBE NORTH,AHMAD IBRAHIM LAWAN,M,APC,55,PHD
,YOBE SOUTH,MOHAMMED HASSAN,M,PDP,48,"B.SC,  MDA"
ZAMFARA,ZAMFARA CENTRAL,KABIR GARBA MARAFA,M,APC,54,"GCE, ND"
,ZAMFARA NORTH,TIJJANI YAHAYA KAURA,M,APC,55,"BED, MIAD"
,ZAMFARA WEST,AHMED RUFAI SANI,M,APC,54,"BSC, MSC"
